
Fri, 03 Jun 2016 17:18:50

{u'y': -12.06, u'x': 289.25, u'z': 90.31, u't': 1464967143766}
{u'y': -11.69, u'x': 290.75, u'z': 90.62, u't': 1464967143822}
{u'y': -11.13, u'x': 292.19, u'z': 91.0, u't': 1464967143876}
{u'y': -10.75, u'x': 293.44, u'z': 90.94, u't': 1464967143931}
{u'y': -10.31, u'x': 294.88, u'z': 91.25, u't': 1464967143986}
{u'y': -9.94, u'x': 296.0, u'z': 91.75, u't': 1464967144041}
{u'y': -8.75, u'x': 298.0, u'z': 92.25, u't': 1464967144096}
{u'y': -7.69, u'x': 299.88, u'z': 92.44, u't': 1464967144151}
{u'y': -6.69, u'x': 301.69, u'z': 92.62, u't': 1464967144207}
{u'y': -6.13, u'x': 302.81, u'z': 92.62, u't': 1464967144263}
{u'y': -5.63, u'x': 303.44, u'z': 92.37, u't': 1464967144317}
{u'y': -5.19, u'x': 302.81, u'z': 92.12, u't': 1464967144374}
{u'y': -5.06, u'x': 301.69, u'z': 91.5, u't': 1464967144429}
{u'y': -4.94, u'x': 299.5, u'z': 90.5, u't': 1464967144484}
{u'y': -4.75, u'x': 297.81, u'z': 90.12, u't': 1464967144539}
{u'y': -4.88, u'x': 296.0, u'z': 90.94, u't': 1464967144594}
{u'y': -5.63, u'x': 293.06, u'z': 91.69, u't': 1464967144649}
{u'y': -6.13, u'x': 290.69, u'z': 91.56, u't': 1464967144704}
{u'y': -6.31, u'x': 289.19, u'z': 91.5, u't': 1464967144759}
{u'y': -6.75, u'x': 287.69, u'z': 91.56, u't': 1464967144816}
{u'y': -7.31, u'x': 286.25, u'z': 91.56, u't': 1464967144872}
{u'y': -7.88, u'x': 285.0, u'z': 91.62, u't': 1464967144928}
{u'y': -8.31, u'x': 284.19, u'z': 91.87, u't': 1464967144982}
{u'y': -9.06, u'x': 283.0, u'z': 92.25, u't': 1464967145037}
{u'y': -9.56, u'x': 282.56, u'z': 92.5, u't': 1464967145091}
{u'y': -10.25, u'x': 282.25, u'z': 92.87, u't': 1464967145146}
{u'y': -10.75, u'x': 282.19, u'z': 93.0, u't': 1464967145201}
{u'y': -11.56, u'x': 281.69, u'z': 92.75, u't': 1464967145258}
{u'y': -12.0, u'x': 281.63, u'z': 93.0, u't': 1464967145313}
{u'y': -11.88, u'x': 282.69, u'z': 93.25, u't': 1464967145369}
{u'y': -12.13, u'x': 283.63, u'z': 93.56, u't': 1464967145424}
{u'y': -12.25, u'x': 284.75, u'z': 93.81, u't': 1464967145480}
{u'y': -12.31, u'x': 285.44, u'z': 94.19, u't': 1464967145534}
{u'y': -12.25, u'x': 286.56, u'z': 94.31, u't': 1464967145589}
{u'y': -12.0, u'x': 287.94, u'z': 94.44, u't': 1464967145644}
{u'y': -11.69, u'x': 289.38, u'z': 94.37, u't': 1464967145699}
{u'y': -11.31, u'x': 290.38, u'z': 94.31, u't': 1464967145754}
{u'y': -10.88, u'x': 291.5, u'z': 93.94, u't': 1464967145810}
{u'y': -10.31, u'x': 292.38, u'z': 93.87, u't': 1464967145866}
{u'y': -9.56, u'x': 293.31, u'z': 93.56, u't': 1464967145921}
{u'y': -8.56, u'x': 294.38, u'z': 92.81, u't': 1464967145978}
{u'y': -7.81, u'x': 294.94, u'z': 92.37, u't': 1464967146033}
{u'y': -7.13, u'x': 295.38, u'z': 91.75, u't': 1464967146088}
{u'y': -6.13, u'x': 295.81, u'z': 90.81, u't': 1464967146143}
{u'y': -5.56, u'x': 295.38, u'z': 89.62, u't': 1464967146197}
{u'y': -5.13, u'x': 294.69, u'z': 88.19, u't': 1464967146253}
{u'y': -4.69, u'x': 292.88, u'z': 87.5, u't': 1464967146309}
{u'y': -4.38, u'x': 291.06, u'z': 85.5, u't': 1464967146363}
{u'y': -3.63, u'x': 289.0, u'z': 84.25, u't': 1464967146420}
{u'y': -3.19, u'x': 287.63, u'z': 83.87, u't': 1464967146476}
{u'y': -3.0, u'x': 285.81, u'z': 83.62, u't': 1464967146532}
{u'y': -2.69, u'x': 284.5, u'z': 83.94, u't': 1464967146587}
{u'y': -2.25, u'x': 283.44, u'z': 84.19, u't': 1464967146642}
{u'y': -1.94, u'x': 282.63, u'z': 84.37, u't': 1464967146697}
{u'y': -1.63, u'x': 281.06, u'z': 84.25, u't': 1464967146751}
{u'y': -1.69, u'x': 279.5, u'z': 84.06, u't': 1464967146806}
{u'y': -1.88, u'x': 278.0, u'z': 84.06, u't': 1464967146862}
